Using device: cuda
Total samples: 4899
Epoch 1 | Step 1060/2449 | Loss: 0.026760 (Chamfer=0.012117, Repulse=0.146405, Smooth=0.000061)
Epoch 1 | Step 1080/2449 | Loss: 0.024650 (Chamfer=0.014335, Repulse=0.103117, Smooth=0.000064)
Epoch 1 | Step 1100/2449 | Loss: 0.046790 (Chamfer=0.030577, Repulse=0.162103, Smooth=0.000047)
Epoch 1 | Step 1120/2449 | Loss: 0.023577 (Chamfer=0.013228, Repulse=0.103450, Smooth=0.000081)
Epoch 1 | Step 1140/2449 | Loss: 0.030567 (Chamfer=0.017105, Repulse=0.134581, Smooth=0.000071)
Epoch 1 | Step 1160/2449 | Loss: 0.025626 (Chamfer=0.011008, Repulse=0.146142, Smooth=0.000069)
Epoch 1 | Step 1180/2449 | Loss: 0.038501 (Chamfer=0.019668, Repulse=0.188298, Smooth=0.000052)
Epoch 1 | Step 1200/2449 | Loss: 0.033255 (Chamfer=0.019849, Repulse=0.134021, Smooth=0.000077)
Epoch 1 | Step 1220/2449 | Loss: 0.036386 (Chamfer=0.024694, Repulse=0.116884, Smooth=0.000073)
Epoch 1 | Step 1240/2449 | Loss: 0.035171 (Chamfer=0.013016, Repulse=0.221510, Smooth=0.000074)
Epoch 1 | Step 1260/2449 | Loss: 0.033514 (Chamfer=0.010854, Repulse=0.226568, Smooth=0.000072)
Epoch 1 | Step 1280/2449 | Loss: 0.029845 (Chamfer=0.009145, Repulse=0.206959, Smooth=0.000075)
Epoch 1 | Step 1300/2449 | Loss: 0.050598 (Chamfer=0.027955, Repulse=0.226407, Smooth=0.000057)
Epoch 1 | Step 1320/2449 | Loss: 0.028903 (Chamfer=0.012013, Repulse=0.168874, Smooth=0.000062)
Epoch 1 | Step 1340/2449 | Loss: 0.027674 (Chamfer=0.016170, Repulse=0.115001, Smooth=0.000076)
Epoch 1 | Step 1360/2449 | Loss: 0.046314 (Chamfer=0.031871, Repulse=0.144397, Smooth=0.000068)
Epoch 1 | Step 1380/2449 | Loss: 0.040159 (Chamfer=0.023802, Repulse=0.163529, Smooth=0.000069)
Epoch 1 | Step 1400/2449 | Loss: 0.042254 (Chamfer=0.022446, Repulse=0.198050, Smooth=0.000070)
Epoch 1 | Step 1420/2449 | Loss: 0.035356 (Chamfer=0.015601, Repulse=0.197525, Smooth=0.000066)
Epoch 1 | Step 1440/2449 | Loss: 0.036849 (Chamfer=0.018432, Repulse=0.184133, Smooth=0.000071)
Epoch 1 | Step 1460/2449 | Loss: 0.028173 (Chamfer=0.010123, Repulse=0.180459, Smooth=0.000065)
Epoch 1 | Step 1480/2449 | Loss: 0.034630 (Chamfer=0.019422, Repulse=0.152047, Smooth=0.000065)
Epoch 1 | Step 1500/2449 | Loss: 0.032656 (Chamfer=0.011669, Repulse=0.209829, Smooth=0.000078)
Epoch 1 | Step 1520/2449 | Loss: 0.036658 (Chamfer=0.020748, Repulse=0.159063, Smooth=0.000079)
Epoch 1 | Step 1540/2449 | Loss: 0.057798 (Chamfer=0.041921, Repulse=0.158737, Smooth=0.000065)
Epoch 1 | Step 1560/2449 | Loss: 0.043107 (Chamfer=0.023425, Repulse=0.196791, Smooth=0.000060)
Epoch 1 | Step 1580/2449 | Loss: 0.032532 (Chamfer=0.012453, Repulse=0.200748, Smooth=0.000082)
Epoch 1 | Step 1600/2449 | Loss: 0.033456 (Chamfer=0.015019, Repulse=0.184330, Smooth=0.000083)
Epoch 1 | Step 1620/2449 | Loss: 0.031459 (Chamfer=0.009261, Repulse=0.221938, Smooth=0.000078)
Epoch 1 | Step 1640/2449 | Loss: 0.037929 (Chamfer=0.019509, Repulse=0.184164, Smooth=0.000070)
Epoch 1 | Step 1660/2449 | Loss: 0.028324 (Chamfer=0.012731, Repulse=0.155888, Smooth=0.000090)
Epoch 1 | Step 1680/2449 | Loss: 0.041943 (Chamfer=0.021879, Repulse=0.200600, Smooth=0.000067)
Epoch 1 | Step 1700/2449 | Loss: 0.034932 (Chamfer=0.015666, Repulse=0.192626, Smooth=0.000077)
Epoch 1 | Step 1720/2449 | Loss: 0.029642 (Chamfer=0.015196, Repulse=0.144418, Smooth=0.000085)
Epoch 1 | Step 1740/2449 | Loss: 0.029468 (Chamfer=0.013844, Repulse=0.156190, Smooth=0.000102)
Epoch 1 | Step 1760/2449 | Loss: 0.032498 (Chamfer=0.017010, Repulse=0.154836, Smooth=0.000085)
Epoch 1 | Step 1780/2449 | Loss: 0.028990 (Chamfer=0.015188, Repulse=0.137972, Smooth=0.000095)
Epoch 1 | Step 1800/2449 | Loss: 0.029080 (Chamfer=0.017677, Repulse=0.113982, Smooth=0.000091)
Epoch 1 | Step 1820/2449 | Loss: 0.033661 (Chamfer=0.021535, Repulse=0.121217, Smooth=0.000084)
Epoch 1 | Step 1840/2449 | Loss: 0.034949 (Chamfer=0.017331, Repulse=0.176138, Smooth=0.000088)
Epoch 1 | Step 1860/2449 | Loss: 0.034538 (Chamfer=0.011645, Repulse=0.228888, Smooth=0.000085)
Epoch 1 | Step 1880/2449 | Loss: 0.028780 (Chamfer=0.014979, Repulse=0.137970, Smooth=0.000083)
Epoch 1 | Step 1900/2449 | Loss: 0.046626 (Chamfer=0.031326, Repulse=0.152964, Smooth=0.000082)
Epoch 1 | Step 1920/2449 | Loss: 0.032834 (Chamfer=0.011375, Repulse=0.214551, Smooth=0.000076)
Epoch 1 | Step 1940/2449 | Loss: 0.031974 (Chamfer=0.009365, Repulse=0.226047, Smooth=0.000090)
Epoch 1 | Step 1960/2449 | Loss: 0.023371 (Chamfer=0.009914, Repulse=0.134516, Smooth=0.000103)
Epoch 1 | Step 1980/2449 | Loss: 0.029382 (Chamfer=0.007893, Repulse=0.214838, Smooth=0.000090)
Epoch 1 | Step 2000/2449 | Loss: 0.030426 (Chamfer=0.017097, Repulse=0.133245, Smooth=0.000102)
Epoch 1 | Step 2020/2449 | Loss: 0.033687 (Chamfer=0.013067, Repulse=0.206163, Smooth=0.000075)
Epoch 1 | Step 2040/2449 | Loss: 0.024023 (Chamfer=0.007585, Repulse=0.164315, Smooth=0.000125)
Epoch 1 | Step 2060/2449 | Loss: 0.031437 (Chamfer=0.017526, Repulse=0.139067, Smooth=0.000093)
Epoch 1 | Step 2080/2449 | Loss: 0.036559 (Chamfer=0.012333, Repulse=0.242214, Smooth=0.000094)
Epoch 1 | Step 2100/2449 | Loss: 0.031078 (Chamfer=0.012182, Repulse=0.188911, Smooth=0.000103)
Epoch 1 | Step 2120/2449 | Loss: 0.024734 (Chamfer=0.007736, Repulse=0.169932, Smooth=0.000093)
Epoch 1 | Step 2140/2449 | Loss: 0.031236 (Chamfer=0.011007, Repulse=0.202237, Smooth=0.000106)
Epoch 1 | Step 2160/2449 | Loss: 0.039729 (Chamfer=0.014584, Repulse=0.251397, Smooth=0.000102)
Epoch 1 | Step 2180/2449 | Loss: 0.036260 (Chamfer=0.014226, Repulse=0.220277, Smooth=0.000120)
Epoch 1 | Step 2200/2449 | Loss: 0.034232 (Chamfer=0.011770, Repulse=0.224580, Smooth=0.000090)
Epoch 1 | Step 2220/2449 | Loss: 0.038415 (Chamfer=0.013674, Repulse=0.247354, Smooth=0.000119)
Epoch 1 | Step 2240/2449 | Loss: 0.032019 (Chamfer=0.008301, Repulse=0.237120, Smooth=0.000116)
Epoch 1 | Step 2260/2449 | Loss: 0.037693 (Chamfer=0.012374, Repulse=0.253133, Smooth=0.000103)
Epoch 1 | Step 2280/2449 | Loss: 0.040440 (Chamfer=0.016712, Repulse=0.237227, Smooth=0.000106)
Epoch 1 | Step 2300/2449 | Loss: 0.024414 (Chamfer=0.007051, Repulse=0.173575, Smooth=0.000094)
Epoch 1 | Step 2320/2449 | Loss: 0.033302 (Chamfer=0.013082, Repulse=0.202155, Smooth=0.000105)
Epoch 1 | Step 2340/2449 | Loss: 0.034846 (Chamfer=0.009511, Repulse=0.253299, Smooth=0.000110)
Epoch 1 | Step 2360/2449 | Loss: 0.031192 (Chamfer=0.009773, Repulse=0.214127, Smooth=0.000112)
Epoch 1 | Step 2380/2449 | Loss: 0.033611 (Chamfer=0.014604, Repulse=0.190007, Smooth=0.000123)
Epoch 1 | Step 2400/2449 | Loss: 0.028459 (Chamfer=0.008422, Repulse=0.200307, Smooth=0.000119)
Epoch 1 | Step 2420/2449 | Loss: 0.037499 (Chamfer=0.011660, Repulse=0.258335, Smooth=0.000115)
Epoch 1 | Step 2440/2449 | Loss: 0.031895 (Chamfer=0.007464, Repulse=0.244271, Smooth=0.000089)
==> Epoch 1/100 | Avg Loss: 0.070579
Epoch 2 | Step 20/2449 | Loss: 0.030491 (Chamfer=0.008691, Repulse=0.217937, Smooth=0.000112)
Epoch 2 | Step 40/2449 | Loss: 0.043287 (Chamfer=0.015988, Repulse=0.272923, Smooth=0.000132)
Epoch 2 | Step 60/2449 | Loss: 0.036792 (Chamfer=0.011985, Repulse=0.248019, Smooth=0.000111)
Epoch 2 | Step 80/2449 | Loss: 0.031522 (Chamfer=0.012173, Repulse=0.193430, Smooth=0.000119)
Epoch 2 | Step 100/2449 | Loss: 0.042623 (Chamfer=0.011195, Repulse=0.314232, Smooth=0.000092)
Epoch 2 | Step 120/2449 | Loss: 0.034843 (Chamfer=0.016512, Repulse=0.183248, Smooth=0.000122)
Epoch 2 | Step 140/2449 | Loss: 0.038018 (Chamfer=0.014012, Repulse=0.240012, Smooth=0.000107)
Epoch 2 | Step 160/2449 | Loss: 0.037473 (Chamfer=0.017646, Repulse=0.198213, Smooth=0.000115)
